Date,User,Machine,Analysis,Slope,Intercept,R2,Nox_Red_Eff,
20220513,Stephanie Wilson,SERC SEAL,NH3,1.937,-0.03,0.9995,NA,
20220513,Stephanie Wilson,SERC SEAL,PO4,2.869,0.002,0.9994,NA,
20220525,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.999,NA,
20220614,Stephanie Wilson,SERC SEAL,NH3,1.1487,-0.011,0.9999,NA,
20220614,Stephanie Wilson,SERC SEAL,PO4,2.395,-0.001,0.9998,NA,
20220615,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9998,NA,
20220615,Stephanie Wilson,SERC SEAL,NH3,1.707,-0.008,1,NA,
20220615,Stephanie Wilson,SERC SEAL,PO4,2.349,0,0.9999,NA,
20220718,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9999,NA,
20220718,Stephanie Wilson,SERC SEAL,NH3,1.708,-0.017,0.9995,NA,
20220718,Stephanie Wilson,SERC SEAL,PO4,2.445,-0.003,0.9993,NA,
20220718,Stephanie Wilson,SERC SEAL,NH3,1.659,-0.017,0.9997,NA,
20220718,Stephanie Wilson,SERC SEAL,PO4,2.349,-0.004,0.9992,NA,
20220719,Stephanie Wilson,SERC SEAL,NH3,1.556,0,0.9994,NA,
20220719,Stephanie Wilson,SERC SEAL,PO4,2.271,-0.003,0.9993,NA,
20220730,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,NA,
20220731,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,NA,
20220822,Stephanie Wilson,SERC SEAL,NH3,1.553,0,0.9997,NA,
20220822,Stephanie Wilson,SERC SEAL,PO4,2.405,-0.003,0.9992,NA,
20220822,Stephanie Wilson,SERC SEAL,NH3,1.614,-0.007,1,NA,
20220822,Stephanie Wilson,SERC SEAL,PO4,2.105,-0.003,0.993,NA,
20220824,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9988,NA,
20220824,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,117.03746,
20220907,Stephanie Wilson,SERC SEAL,NH3,1.609,-0.017,0.997,NA,
20220907,Stephanie Wilson,SERC SEAL,PO4,2.36,-0.003,0.9995,NA,
20220908,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,104.589638,
20221006,Stephanie Wilson,SERC SEAL,PO4,2.387,-0.001,0.9998,NA,
20221006,Stephanie Wilson,SERC SEAL,NH3,1.57,-0.017,1,NA,
20230113,Stephanie Wilson,SERC SEAL,PO4,2.405,-0.001,0.9993,NA,
20230113,Stephanie Wilson,SERC SEAL,NH3,1.909,-0.02,0.9983,NA,
20230114,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9043,-0.11,
20230115,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,108.705391,
20230116,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9999,107.744576,
20230117,Stephanie Wilson,SERC SEAL,NH3,1.931,-0.028,1,NA,
20230117,Stephanie Wilson,SERC SEAL,PO4,2.4,-0.001,0.9999,NA,
20230118,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,104.023575,
20230118,Stephanie Wilson,SERC SEAL,NH3,1.964,-0.029,1,NA,
20230118,Stephanie Wilson,SERC SEAL,PO4,2.976,-0.002,0.9995,NA,
20230118,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9999,107.374832,
20230120,Stephanie Wilson,SERC SEAL,NH3,1.918,-0.026,0.9998,NA,
20230120,Stephanie Wilson,SERC SEAL,PO4,2.475,-0.002,0.9998,NA,
20230120,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,106.363869,
20230120,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9999,106.86396,
20230120,Stephanie Wilson,SERC SEAL,NH3,1.952,-0.035,0.9998,NA,
20230120,Stephanie Wilson,SERC SEAL,PO4,2.426,-0.004,0.9997,NA,
20230121,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,102.595222,
20230121,Stephanie Wilson,SERC SEAL,NH3,1.985,-0.034,0.9993,NA,
20230121,Stephanie Wilson,SERC SEAL,PO4,2.522,-0.003,0.9997,NA,
20230124,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,101.78434,
20230124,Stephanie Wilson,SERC SEAL,NH3,1.969,-0.027,0.9999,NA,
20230124,Stephanie Wilson,SERC SEAL,PO4,2.388,-0.003,0.9994,NA,
20230124,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,105.427673,
20230307,Stephanie Wilson,SERC SEAL,NH3,1.918,-0.041,0.9999,NA,
20230307,Stephanie Wilson,SERC SEAL,PO4,2.307,-0.002,0.9995,NA,
20230308,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9999,107.124123,
20230308,Stephanie Wilson,SERC SEAL,NH3,1.894,-0.033,0.9998,NA,
20230308,Stephanie Wilson,SERC SEAL,PO4,2.336,-0.003,0.9995,NA,
20230310,Stephanie Wilson,SERC SEAL,NH3,1.902,-0.034,0.9998,NA,
20230310,Stephanie Wilson,SERC SEAL,PO4,2.41,-0.002,0.9991,NA,
20230308,Stephanie Wilson,SERC SEAL,V-Nox,1,0,0.9997,105.188461,
20230606,Stephanie Wilson,SERC SEAL,NH3,1,-0.034,1.927,NA,
20230606,Stephanie Wilson,SERC SEAL,PO4,0.9988,-0.001,2.377,,
20230606,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,,
20230607,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.032,1.935,,
20230607,Stephanie Wilson,SERC SEAL,PO4,0.9997,-0.001,2.363,,
20230607,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,,
20230608,Stephanie Wilson,SERC SEAL,NH3,0.9994,-0.032,1.923,,
20230608,Stephanie Wilson,SERC SEAL,PO4,0.9995,-0.001,2.38,,
20230608,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,,
20230608,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.031,1.907,,
20230608,Stephanie Wilson,SERC SEAL,PO4,0.9998,-0.001,2.414,,
20230609,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,,
20240111,Stephanie Wilson,SERC SEAL,V-Nox,0.9998,0,1,103.017509,
20240111,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.035,1.885,,
20240111,Stephanie Wilson,SERC SEAL,PO4,0.927,-0.047,0.472,,
20240112,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,,
20240112,Stephanie Wilson,SERC SEAL,NH3,0.9997,-0.032,1.84,,
20240112,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.407,,
20240113,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,101.881859,
20240113,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.024,1.895,,
20240113,Stephanie Wilson,SERC SEAL,PO4,0.9997,0.001,2.307,,
20240114,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,105.46138,
20240114,Stephanie Wilson,SERC SEAL,NH3,0.9997,-0.027,1.964,,
20240114,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.392,,
20240115,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,106.976006,
20240115,Stephanie Wilson,SERC SEAL,NH3,0.9996,-0.03,1.872,,
20240115,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.324,,
20240116,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,105.738388,
20240116,Stephanie Wilson,SERC SEAL,NH3,0.999,-0.038,1.906,,
20240116,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.293,,
20240117,Stephanie Wilson,SERC SEAL,V-Nox,0.9998,0,1,104.577744,
20240117,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.024,1.853,,
20240117,Stephanie Wilson,SERC SEAL,PO4,0.9997,0.001,2.314,,
20240118,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,,
20240118,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.029,1.907,104.662094,
20240118,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.339,,
20240119,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,107.043709,
20240119,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.024,1.826,,
20240119,Stephanie Wilson,SERC SEAL,PO4,0.9997,0.001,2.406,,
20240122,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,106.004906,
20240122,Stephanie Wilson,SERC SEAL,NH3,0.9993,-0.019,1.816,,
20240122,Stephanie Wilson,SERC SEAL,PO4,0.9998,0.001,2.32,,
20240123,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,105.195656,
20240123,Stephanie Wilson,SERC SEAL,NH3,0.9998,-0.038,1.923,,
20240123,Stephanie Wilson,SERC SEAL,PO4,0.9997,0,2.354,,
20240124,Stephanie Wilson,SERC SEAL,V-Nox,0.9996,0,1,107.126892,
20240124,Stephanie Wilson,SERC SEAL,NH3,0.9998,-0.033,1.922,,
20240124,Stephanie Wilson,SERC SEAL,PO4,0.9996,0,2.406,,
20240125,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,101.613342,
20240125,Stephanie Wilson,SERC SEAL,NH3,0.9994,-0.021,1.851,,
20240125,Stephanie Wilson,SERC SEAL,PO4,0.9999,0,2.376,,
20240126,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,106.683311,
20240126,Stephanie Wilson,SERC SEAL,NH3,0.9997,-0.031,1.864,,
20240126,Stephanie Wilson,SERC SEAL,PO4,0.9998,0,2.39,,
20240127,Stephanie Wilson,SERC SEAL,V-Nox,0.9981,0,1,107.625977,
20240127,Stephanie Wilson,SERC SEAL,NH3,0.9996,-0.039,1.95,,
20240127,Stephanie Wilson,SERC SEAL,PO4,0.9999,0,2.338,,
20240128,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,103.233376,
20240128,Stephanie Wilson,SERC SEAL,NH3,0.9994,-0.023,1.861,,
20240128,Stephanie Wilson,SERC SEAL,PO4,0.9999,0,2.348,,
20240129,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,102.683807,
20240129,Stephanie Wilson,SERC SEAL,NH3,0.9996,-0.026,1.847,,
20240129,Stephanie Wilson,SERC SEAL,PO4,0.9999,0,2.455,,
20240201,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,101.158211,
20240201,Stephanie Wilson,SERC SEAL,NH3,0.9996,-0.037,1.907,,
20240201,Stephanie Wilson,SERC SEAL,PO4,0.9999,0,2.476,,
20240203,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,105.163216,
20240203,Stephanie Wilson,SERC SEAL,NH3,0.9996,-0.058,1.972,,
20240203,Stephanie Wilson,SERC SEAL,PO4,0.9999,0,2.497,,
20240204,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,110.943665,
20240204,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.029,1.835,,
20240204,Stephanie Wilson,SERC SEAL,PO4,0.9998,0,2.504,,
20240205,Stephanie Wilson,SERC SEAL,V-Nox,,0,1,,
20240205,Stephanie Wilson,SERC SEAL,NH3,0.9998,-0.029,1.886,,
20240205,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.371,,
20240206,Stephanie Wilson,SERC SEAL,V-Nox,0.9994,0,1,103.577301,
20240206,Stephanie Wilson,SERC SEAL,NH3,0.9997,-0.027,1.88,,
20240206,Stephanie Wilson,SERC SEAL,PO4,0.9999,0.001,2.371,,
20240207,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,103.269745,
20240207,Stephanie Wilson,SERC SEAL,NH3,0.9994,-0.033,1.918,,
20240207,Stephanie Wilson,SERC SEAL,PO4,0.9998,0.001,2.456,,
20240209,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,101.956978,
20240209,Stephanie Wilson,SERC SEAL,NH3,0.9995,-0.026,1.936,,
20240209,Stephanie Wilson,SERC SEAL,PO4,0.9998,0.001,2.326,,
20240210,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,105.933891,
20240210,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.026,1.885,,
20240210,Stephanie Wilson,SERC SEAL,PO4,0.9997,0,2.507,,
20240211,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,104.915619,
20240211,Stephanie Wilson,SERC SEAL,NH3,0.9986,-0.039,1.961,,
20240211,Stephanie Wilson,SERC SEAL,PO4,0.9998,2.462,0,,
20240217,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,103.479706,
20240217,Stephanie Wilson,SERC SEAL,NH3,1,-0.033,1.956,,
20240217,Stephanie Wilson,SERC SEAL,PO4,0.9996,0,2.562,,
20250130,Stephanie Wilson,SERC SEAL,V-Nox,0.9998,0,1,118.238426,
20250130,Stephanie Wilson,SERC SEAL,NH3,0.9995,-0.031,1.867,,
20250130,Stephanie Wilson,SERC SEAL,PO4,0.9996,-0.004,2.417,,
20250131,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,112.924194,
20250131,Stephanie Wilson,SERC SEAL,NH3,0.9991,-0.028,1.815,,
20250131,Stephanie Wilson,SERC SEAL,PO4,0.9999,-0.002,2.572,,
20250204,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,117.433144,
20250204,Stephanie Wilson,SERC SEAL,NH3,0.9996,-0.03,1.797,,
20250204,Stephanie Wilson,SERC SEAL,PO4,0.5327,-0.058,4.867,,need to rerun
20250205,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,107.227623,
20250205,Stephanie Wilson,SERC SEAL,NH3,0.9997,-0.033,1.839,,
20250205,Stephanie Wilson,SERC SEAL,PO4,0.9997,-0.002,2.419,,
20250213,Stephanie Wilson,SERC SEAL,V-Nox,0.9998,0,1,111.120056,
20250213,Stephanie Wilson,SERC SEAL,NH3,0.9998,-0.023,1.689,,
20250213,Stephanie Wilson,SERC SEAL,PO4,0.9998,-0.002,2.395,,
20250214,Stephanie Wilson,SERC SEAL,V-Nox,0.9999,0,1,109.071861,
20250214,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.027,1.799,,
20250214,Stephanie Wilson,SERC SEAL,PO4,0.9994,-0.002,2.405,,
20250219,Stephanie Wilson,SERC SEAL,V-Nox,1,0,1,110.099541,
20250219,Stephanie Wilson,SERC SEAL,NH3,0.9999,-0.03,1.861,,
20250219,Stephanie Wilson,SERC SEAL,PO4,0.9993,-0.002,2.427,,
20250220,Stephanie Wilson,SERC SEAL,V-Nox,0.9955,0,1,,
20250220,Stephanie Wilson,SERC SEAL,NH3,,,,,
20250220,Stephanie Wilson,SERC SEAL,PO4,,,,,
